Key,Id,Shared Comments,English(en),English(en) Comments,Japanese(ja),Japanese(ja) Comments
"1_4_GameClear.clip3.0",306715309780992,"","Well then, let’s get out of here.
The adults should be arriving any minute now.","","うむ。では早くここから離れるとしよう。
そろそろ大人たちも到着する頃合いだろうしな。",""
"1_4_GameClear.clip3.1",306715309780993,"","Yeah... I’d rather not get another lecture.","","ああ。また怒られるのはごめんだ。",""
"1_4_GameClear.clip3.2",306715309780994,"","Ha ha ha!
The hardships of an unofficial mission, eh?","","はっはっは！
非公式活動の辛いところだな！",""
"1_4_GameClear.clip3.3",306715309780995,"","Come on, Milly… 
Can you stand?","","さあ、行こう。ミリー。
立てる？",""
"1_4_GameClear.clip3.4",306715309780996,"","Yes!","","はいっ！",""
"1_4_GameClear.clip4.0",306715850846208,"","Thank you for playing with me, Player!","","力を貸してくれてありがとう、プレイヤー！",""
"1_4_GameClear.clip4.1",306715850846209,"","I'd love to keep talking with you, but...
it looks like our connection is about to end.","","もっとたくさんお話したいけど……
今日はもうすぐ接続が切れちゃうみたい。",""
"1_4_GameClear.clip4.2",306715850846210,"","Promise you'll come visit me again, okay?
I'll be waiting for you!","","あのね、また遊びに来てね！
待ってるよ！",""
"1_4_GameClear.clip5.0",306716421271552,"","Please add it to your wishlist and stay tuned for its release!","","遊んでいただきありがとうございました！
ウィッシュリスト登録して
完成をお待ちください！",""
"1_4_GameClear.clip6.0",306718006718464,"","Let’s go too, Lulu-chan.","","私たちも行こう。ルルちゃん。",""
"1_4_GameClear.clip6.1",306718006718465,"","Yeah!","","うん！",""
"1_4_GameClear.clip6.2",306718006718466,"","……Oh, wait!","","……あっ。",""
"1_4_GameClear.clip7.0",306718665224192,"","Hello?","","もしもし？",""
"1_4_GameClear.clip7.1",306718669418496,"","Yeah, I met the Player!
You were right, Boss!","","うん、プレイヤーに会えたよ！
ボスの言った通りだった！",""
"1_4_GameClear.clip7.2",306718669418497,"","Huh? The plan?
...Oh. I forgot.","","え、計画？
……あ。忘れてた。",""
"1_4_GameClear.clip7.3",306718669418498,"","Okay.
See you later, Boss.","","はーい。
じゃあまたね。ボス。",""
"1_4_GameClear.clip8.0",306719751548928,"","We'll meet again, Player.
That's a promise.","","……また会おうね。プレイヤー。
絶対だよ。",""
